,x,a
0,0.0,1290.0
1,3.528428093645516,1290.0
2,7.056856187290919,1290.0
3,10.585284280936435,1290.0
4,14.11371237458195,1290.0
5,17.642140468227467,1290.0
6,21.17056856187287,1290.0
7,24.698996655518386,1290.0
8,28.2274247491639,1290.0
9,31.755852842809304,1290.0
10,35.28428093645482,1290.0
11,38.812709030100336,1290.0
12,42.34113712374585,1290.0
13,45.869565217391255,1290.0
14,49.39799331103677,1290.0
15,52.92642140468229,1290.0
16,56.4548494983278,1290.0
17,59.983277591973206,1290.0
18,63.51170568561872,1290.0
19,67.04013377926424,1290.0
20,70.56856187290964,1290.0
21,74.09698996655516,1290.0
22,77.62541806020067,1290.0
23,81.15384615384619,1290.0
24,84.68227424749159,1290.0
25,88.21070234113711,1290.0
26,91.73913043478262,1290.0
27,95.26755852842814,1290.0
28,98.79598662207354,1286.8257422331517
29,102.32441471571906,1137.706050900323
30,105.85284280936446,1030.5290358292082
31,109.38127090301009,958.2001042129392
32,112.9096989966555,916.889156067264
33,116.4381270903009,908.9019406787112
34,119.96655518394653,919.0095308668213
35,123.49498327759193,942.5190164400148
36,127.02341137123744,979.542367274137
37,130.55183946488285,1033.5261925847517
38,134.08026755852848,1099.4711581326949
39,137.60869565217388,1167.6621088139937
40,141.13712374581928,1237.9045719743408
41,144.6655518394649,1305.7910778855694
42,148.1939799331103,1373.2806894802934
43,151.72240802675572,1442.470732850028
44,155.25083612040123,1515.0003245879366
45,158.77926421404686,1583.279895472253
46,162.30769230769226,1649.5818969549057
47,165.83612040133767,1715.3636935213508
48,169.3645484949833,1775.7900591204211
49,172.89297658862893,1837.2620762122408
50,176.4214046822741,1895.9222224254167
51,179.94983277591973,1948.0294054211136
52,183.47826086956525,2000.843078225856
53,187.00668896321065,2050.0485617659742
54,190.53511705685605,2092.931593722107
55,194.06354515050168,2136.258373163349
56,197.5919732441473,2178.472009527732
57,201.1204013377925,2211.4803508463665
58,204.64882943143812,2244.7372761679817
59,208.17725752508363,2271.708052318656
60,211.70568561872926,2295.5660963864248
61,215.23411371237444,2319.548625557916
62,218.76254180602007,2335.413112520255
63,222.2909698996657,2349.8877557170963
64,225.819397993311,2357.2348430765333
65,229.3478260869565,2364.405643755136
66,232.87625418060202,2371.4001284523138
